"capacity_code,tons"
"13,12.5"
"15,15"
"18,17.5"
"20,20"
"25,25"
"28,27.5"
"037,3"
"049,4"
"061,5"
"078,6.5"
"090,7.5"
"102,8.5"
"120,10"
"150,12.5"
